Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,AE_33,AE_34,AE_35,AE_36,AE_37,AE_38,AE_39,AE_40,AE_41,AE_42,AE_43,AE_44,AE_45,AE_46,AE_47,AE_48,AE_49,AE_50,AE_51,AE_52,AE_53,AE_54,AE_55,AE_56,AE_57,AE_58,AE_59,AE_60,AE_61,AE_62,AE_63,AE_64,AE_65,AE_66
IOPS_102,IOPS_102,3.0355363249690016e-08,-0.0001188701557595,0.0237112040754702,0.0005622211987085,0.498,0.502,756208.8784190593,44.6071802617135,2.196684704419627,8.52474965289471,0.0150435851840062,0.0012499179717476,-0.0131995112965501,0.0129945113659593,-0.2021320568814673,0.518102535594835,-0.7202345924763023,0.0237112040754897,0.0166178191781746,1.0412815006092644,0.3420180082646645,0.0329215012583958,-0.2021320568814673,756208.8784190593,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,33.89288452821477,0.0006445364318225,0.0,40.06608079496616,40.06608079496616,0.0,1.7690826258005532,2.1288041258549995e-09,0.0035513582283431,0.0002011384440734,0.0004397247438907,2.1288041258549995e-09,0.3903807615230461,7.757755511022045,0.1005692220367396,4.9718456807005325,4.758284997283669,2.7383916462290108,-0.4470722927501749,1.8120702944895728,0.0906114061958345,7.597595190380762,-0.3402851310703182,0.0002332944539526,1.0,0,0.6387048381046833,37,0,0.6392483658464911,0.498937367170834,0.38771089416295
IOPS_103,IOPS_103,3.9969253191607386e-08,-0.0002828017129044,0.0520468473352393,0.0027088743175377,0.499625,0.500375,1270387.9929620293,0.0831390418307491,0.1799760070541492,3.621336362335506,0.0163031014098555,-0.0033223337361609,-0.0467592648057451,0.0458858633418781,-0.1884791044521101,0.4996515168238318,-0.6881306212759419,0.0520468473352546,0.0474902044641014,1.4907916429525587,0.5261840396007942,0.0756351274749235,-0.1884791044521101,1270387.9929620293,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,18.36807191065624,0.0110110626059249,1.8324784451762686e-10,3.977951582558138,3.977951582558138,0.0,1.0299760250672805,1.7002521229593126e-09,0.0009898805349127,4.793189628946662e-05,0.0001118746343309,1.7002521229593126e-09,9.419418837675352,8.07807615230461,0.0239659481447333,4.910724300806908,4.648609619158628,2.8405930231558227,-0.1784838349175768,1.817505482589133,0.1216061001411428,7.317314629258517,-0.2566538673434315,4.855106243376201e-05,1.0,0,0.9971246405799478,12,0,0.8716585082559689,0.5005625703212275,17.876293579915785
IOPS_104,IOPS_104,2.9062782972211212e-08,-0.0002876866909211,0.0426970526115356,0.0018230383017122,0.499125,0.500875,1420262.809700718,0.5083696050627386,0.1834876636036927,4.652739953889749,0.020215616491139,-0.0068926249721468,-0.0363437674692956,0.0352747544677889,-0.1986582581889813,0.4290139525368488,-0.6276722107258301,0.0426970526115454,0.0370853787770886,1.51558392598468,0.5349346277184812,0.0680244430355407,-0.1986582581889813,1420262.809700718,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,21.547441637782413,0.0050598392851874,1.4043537136422102e-22,-24.724321000464748,-24.724321000464748,0.0,0.9001026725522222,1.1826256971239304e-09,0.0014733869610932,7.155222626445334e-05,0.000156084305073,1.1826256971239304e-09,1.3313226452905813,2.712705410821643,0.0357761131322266,5.0147251776925525,4.4238385785823775,2.96851630924967,-0.0523355115387681,1.5696365727491273,0.1224270786736585,7.637635270541082,-0.2307385437061697,7.042887292644372e-05,1.0,0,0.9928741092635338,12,0,1.1693471310347725,0.4998124765595074,10.037843280798077
IOPS_11,IOPS_11,7.46080851569583e-07,-5.98847241511935e-06,0.0001165107855898,1.3574763158772157e-08,0.4685792349726776,0.5314207650273224,155.9547207576009,76.04834025846328,2.7528312298741118,9.92102180429732,0.1734044302709646,0.0406348238857211,-6.61544397259576e-05,5.927431071491365e-05,-0.0011551698844432,0.0032575319982441,-0.0044127018826874,0.0001165131743426,8.216432413539103e-05,0.8408608849516872,0.2761881056472892,0.0264034966068066,-0.0011551698844432,155.9547207576009,4391.5,4391.5,2195.75,6587.25,1.0,1.0,1.0,1.0,8783.0,43.1144002071276,0.0003266890454857,0.0,0.5094651237707786,0.5094651237707786,0.0,0.7435600830584351,7.82971946016253e-10,0.012437110095679,0.0002416618725994,0.0008027806908871,7.82971946016253e-10,6.19619238476954,3.5535470941883767,0.1208309362997095,4.623609336921298,4.582171430395387,2.564177291063694,-0.4482724308186324,1.8029871882373367,0.0684451461525239,7.217214428857716,-0.3345362088782369,0.0002772153704079,1.0,0,0.6046908801092332,45,0,0.0029480820762075,0.4993737902766139,-3.261783988894385e-06
IOPS_116,IOPS_116,3.722476854317592e-08,-5.782659902564546e-05,0.0302674330896796,0.0009161175058382,0.499125,0.500875,791827.7662163422,46.60299115506946,2.234679780732117,10.624467982732472,0.0057352556172495,-0.0350951034909179,-0.0199649668768575,0.0184994026156584,-0.3215753471804987,0.5937250412973754,-0.915300388477874,0.0302674330897025,0.0220945508438941,1.0554597770574048,0.3466749870629832,0.0330683057033828,-0.3215753471804987,791827.7662163422,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,38.27768244285815,0.0012943042905805,0.0,594.3788136852253,594.3788136852253,0.0,1.246759982435701,4.8834507623836676e-09,0.0236264253956731,0.0001857862504829,0.0010848931615551,4.8834507623836676e-09,0.1101002004008016,3.773767535070141,0.0928931252414579,4.328949453902551,3.6093035396817785,3.084685660814566,0.086856619930729,1.3796473565625131,0.0867618128498038,6.976973947895792,-0.2302658856274838,0.0002376322264452,1.0,0,0.946618327290793,28,0,0.9763513685369424,0.5004375546942742,2.8452655735280232
IOPS_118,IOPS_118,3.11963824395356e-08,-7.206795759806539e-05,0.0212352885714597,0.0004509374807131,0.499,0.501,659555.1103090328,6.117166061690769,0.4445239894334021,4.73842275637576,0.0101857552360491,0.0025079940045618,-0.01658618756493,0.0165250945492676,-0.1006217481472511,0.3206667960480445,-0.4212885441952956,0.0212352885714826,0.0176586451496789,1.388238060269488,0.4714779520379176,0.0504055683774068,-0.1006217481472511,659555.1103090328,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,24.814118680371266,0.0022617373229878,8.178134747485574e-276,-482.45611154805954,-482.45611154805954,0.0,1.2912570217676045,7.037995194802972e-10,0.0032207091363944,0.0001123155994663,0.0002933446363815,7.037995194802972e-10,0.7907815631262526,8.11811623246493,0.0561577997331522,4.770990380862747,4.559149099536431,2.763541994410274,-0.3214142113643727,1.688417598783777,0.0892187192783099,7.117114228456914,-0.2417450505609767,0.0001238228493372,1.0,0,0.9853731716463324,11,0,0.6610347055140338,0.4988123515438806,2.127834174523508
IOPS_121,IOPS_121,7.59670146757152e-08,0.0018908367095775,0.0474744673708732,0.0022538250521481,0.50275,0.49725,616815.7563457176,0.1154504779246377,0.1778275999522351,4.276072709827605,-0.1194806897757442,-0.0561503654101229,-0.0433024228268354,0.042278685675245,-0.20300420264725,0.4335375309201339,-0.636541733567384,0.0474744673709339,0.0431417265588887,1.476139838706349,0.521012595568252,0.0745818613183918,-0.20300420264725,616815.7563457176,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,21.801165728687863,0.0105313622197382,1.1657240805069354e-10,39.88088849153711,39.88088849153711,0.0,0.9568936986594178,9.698608675988208e-10,0.0011379336598468,5.46124495582493e-05,0.0001267990459075,9.698608675988208e-10,0.1301202404809619,2.3523446893787576,0.0273062247791246,4.9046011681565655,4.449409436834813,2.947841602077544,-0.1050873287167976,1.7109969960804725,0.1179276096249658,7.177174348697395,-0.3037296759950772,6.012938953067325e-05,1.0,0,0.9951243905486942,10,0,1.1919640995776248,0.5005625703212275,14.620469273228588
IOPS_127,IOPS_127,2.89948497833592e-09,-0.0002056248919508,0.0165719652939069,0.0002746300337024,0.497125,0.502875,4249783.083144197,71.29293409334011,2.599371582820323,7.280308496131231,0.0372245129737159,0.0084061580149526,-0.0117023430507501,0.0114860183049181,-0.1206490241076458,0.4484774191807759,-0.5691264432884218,0.0165719652939071,0.0128247997962813,1.0017225364356062,0.3290245207900754,0.0291182486075248,-0.1206490241076458,4249783.083144197,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,22.26016239556469,0.0047600748985325,0.0,1217.227952596243,1217.227952596243,0.0,0.6289111601758202,1.889086890186953e-09,0.0065743683994514,0.0001248211301987,0.0004522553177983,1.889086890186953e-09,0.63062124248497,3.73372745490982,0.0624105650993984,4.489656755021934,4.422900960275251,2.7139015861922773,-0.3490234818793679,1.682466913939454,0.0823592389557759,6.916913827655311,-0.2481396220310525,0.0001386928123254,1.0,0,0.9778722340291314,24,0,0.174535092619628,0.5001875234403675,1.169639255326164
IOPS_128,IOPS_128,2.078966184981823e-09,-0.0001079300796771,0.0088869614098919,7.897808310090816e-05,0.49375,0.50625,2886345.895333172,4.555064467093825,0.28719305347361,6.634197652934373,0.0364350000591359,0.0142512626281551,-0.0046462420361548,0.0045616053422818,-0.0589578630824547,0.0909860704730078,-0.1499439335554626,0.0088869614098921,0.0063168207444166,1.456554573004421,0.503933298033842,0.0592685621878538,-0.0589578630824547,2886345.895333172,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,24.42676184014836,0.0002735254875623,5.957215065389358e-202,-5.786770755054536,-5.786770755054536,0.0,1.000042852571122,1.5750659197980346e-09,0.0121838488108759,0.0002096763666061,0.0008504787110271,1.5750659197980346e-09,0.2102004008016032,3.353346693386773,0.1048381833030967,4.336786457164677,4.645700911823129,2.8375886507349044,-0.4790020060138917,1.686738079166026,0.0650448627034411,7.297294589178357,-0.2555803270801451,0.0002890039560402,1.0,0,0.6737092136516222,89,0,0.1489240075560722,0.5001875234403675,0.048269599007174
IOPS_186,IOPS_186,1.381023020070038e-07,0.0021153346369819,0.0132817501013356,0.0001764048857543,0.500625,0.499375,95481.88570356603,-1.7270153637708698,0.0047325372600546,2.007806617705425,-0.4777675440252618,-0.1678377371368576,-0.0128612369415587,0.0127871404286388,-0.026667049653676,0.0312025754199201,-0.0578696250735961,0.0132817501020536,0.0128096151889609,2.0605998101410843,0.7609163997556169,0.229511593602566,-0.026667049653676,95481.88570356603,3999.5,3999.5,1999.75,5999.25,1.0,1.0,1.0,1.0,7999.0,8.55837656052593,0.030413552826604,0.0,-36.281583471226064,-36.281583471226064,0.0,0.99992147356296,1.945528545601008e-10,0.0011327770963159,2.424324338501273e-05,8.399177558989641e-05,1.945528545601008e-10,9.419418837675352,8.67867735470942,0.0121216216925063,4.3735797789353725,5.380595157697006,2.813192625288637,-0.3342742679584451,2.092069302820702,0.0717865385528567,9.279278557114228,-0.1106010832211845,2.7365070467247573e-05,1.0,0,0.9998749843729215,0,0,0.0893294982611463,0.4999374921864608,1.305447561176345
